"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se","comment"
"83",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.21875,91.05989703,8.5703125,-65.00294779,0.014603513,"Evaluating likhood for d-zeta, profile, set 1"
"84",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.61875,91.05989703,18.0703125,-471.4564269,0.301705941,"Evaluating likhood for d-zeta, profile, set 1"
"85",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.81875,91.05989703,3.8203125,-117.0635903,0.061318997,"Evaluating likhood for d-zeta, profile, set 1"
"86",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.41875,91.05989703,13.3203125,-224.7881132,0.109229817,"Evaluating likhood for d-zeta, profile, set 1"
"87",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.51875,91.05989703,1.4453125,-60.43529315,0.01376799,"Evaluating likhood for d-zeta, profile, set 1"
"88",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.91875,91.05989703,10.9453125,-436.2695797,1.152129571,"Evaluating likhood for d-zeta, profile, set 1"
"89",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.71875,91.05989703,6.1953125,-177.7619006,0.099136226,"Evaluating likhood for d-zeta, profile, set 1"
"90",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.31875,91.05989703,15.6953125,-195.6408141,0.097933134,"Evaluating likhood for d-zeta, profile, set 1"
"91",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.36875,91.05989703,5.0078125,-64.98190283,0.023486302,"Evaluating likhood for d-zeta, profile, set 1"
"92",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.76875,91.05989703,14.5078125,-474.3832145,0.439695455,"Evaluating likhood for d-zeta, profile, set 1"
"93",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.96875,91.05989703,9.7578125,-414.7812985,0.237611285,"Evaluating likhood for d-zeta, profile, set 1"
"94",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.56875,91.05989703,19.2578125,-461.3991083,0.636905766,"Evaluating likhood for d-zeta, profile, set 1"
"95",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.46875,91.05989703,7.3828125,-126.7297066,0.101160806,"Evaluating likhood for d-zeta, profile, set 1"
"96",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.86875,91.05989703,16.8828125,-595.6220174,1.214097085,"Evaluating likhood for d-zeta, profile, set 1"
"97",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.66875,91.05989703,2.6328125,-64.15559377,0.028703108,"Evaluating likhood for d-zeta, profile, set 1"
